이름,길이(mm),너비,높이,종자끝지름,종자끝지름(단반경),막대지름,돌기길이(평균),
a1,2.057,0.432,0.429,0.097,0.075,0.016,0.032,
a2,2.037,0.391,0.379,0.072,0.068,0.026,0.022,
a3,2.139,0.44,0.444,0.054,0.089,0.018,0.026,*샘플사진(길이너비돌기)
a4,1.927,0.389,0.447,0.067,0.054,0.02,0.027,
a5,1.95,0.355,0.363,0.073,0.065,0.028,0.03,
a6,1.989,0.408,0.392,0.069,0.07,0.027,0.023,*샘플사진(종자끝)
a7,2.012,0.406,0.421,0.056,0.099,0.027,0.02,
a8,1.975,0.437,0.38,0.072,0.056,0.027,0.018,
a9,2.025,0.414,0.391,0.083,0.081,0.019,0.026,
a10,2.206,0.413,0.384,0.099,0.075,0.027,0.025,
a11,2.125,0.525,0.484,0.081,0.078,0.03,0.035,
a12,2.162,0.414,0.417,0.075,0.067,0.02,0.021,
a13,2.136,0.425,0.371,0.088,0.055,0.02,0.023,
a14,2.008,0.387,0.395,0.066,0.034,0.015,0.032,
a15,2.021,0.443,0.414,0.07,0.067,0.017,0.032,
a16,2.07,0.426,0.367,0.078,0.075,0.018,0.025,
a17,2.103,0.439,0.437,0.08,0.078,0.025,0.028,*샘플사진(길이너비돌기)
a18,2.066,0.398,0.41,0.073,0.047,0.026,0.032,
a19,2.027,0.409,0.337,0.068,0.055,0.017,0.031,
a20,2.052,0.41,0.41,0.079,0.072,0.019,0.018,
a21,2.033,0.412,0.419,0.089,0.056,0.022,0.022,*샘플사진(종자끝잘보임)
a22,1.926,0.339,0.442,0.072,0.054,0.017,0.022,
a23,2.076,0.405,0.418,0.062,0.061,0.016,0.023,
a24,1.952,0.376,0.303,0.087,0.086,0.017,0.025,
a25,2.02,0.375,0.374,0.059,0.05,0.014,0.036,
a26,2.068,0.423,0.401,0.073,0.061,0.022,0.032,
a27,2.053,0.438,0.439,0.067,0.082,0.016,0.032,
a28,2.037,0.39,0.407,0.093,0.06,0.018,0.023,
a29,1.997,0.306,0.329,0.076,0.048,0.012,0.028,
a30,1.991,0.334,0.418,0.073,0.039,0.015,0.026,
a31,2.122,0.422,0.391,0.084,0.067,0.022,0.019,
a32,2.029,0.374,0.366,0.069,0.066,0.017,0.026,
a33,2.162,0.39,0.388,0.065,0.064,0.023,0.026,
a34,2.101,0.382,0.399,0.07,0.049,0.019,0.033,
a35,2.04,0.392,0.396,0.082,0.076,0.015,0.02,